,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.13,"Long Valley area, California",883612637640,1482862455260,,https://earthquake.usgs.gov/earthquakes/eventpage/nc547797,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc547797&format=geojson,,,,,reviewed,0,70,nc,547797,",nc547797,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",33,0.01802,0.06,73,md,earthquake,"M 2.1 - Long Valley area, California",0,Point,"[-118.8571667, 37.6425, 4.526]",0
0,2.48,"Long Valley area, California",883612491420,1482862400450,,https://earthquake.usgs.gov/earthquakes/eventpage/nc547794,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc547794&format=geojson,,,,,reviewed,0,95,nc,547794,",nc547794,usp0008dha,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",36,0.02072,0.04,74,md,earthquake,"M 2.5 - Long Valley area, California",1,Point,"[-118.8616667, 37.6391667, 4.392]",1
0,2.21,"Long Valley area, California",883612369780,1482862370057,,https://earthquake.usgs.gov/earthquakes/eventpage/nc40055383,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc40055383&format=geojson,,,,,reviewed,0,75,nc,40055383,",nc40055383,",",nc,",",nearby-cities,origin,phase-data,",20,0.01622,0.03,90,md,earthquake,"M 2.2 - Long Valley area, California",2,Point,"[-118.8548333, 37.6438333, 4.436]",2
0,2.38,Northern California,883612276420,1482862345407,,https://earthquake.usgs.gov/earthquakes/eventpage/nc40055380,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc40055380&format=geojson,,,,,reviewed,0,87,nc,40055380,",nc40055380,",",nc,",",nearby-cities,origin,phase-data,",17,0.1081,0.09,71,md,earthquake,M 2.4 - Northern California,3,Point,"[-123.5043333, 40.3543333, 30.517]",3
0,2.58,"Long Valley area, California",883610510690,1482862042930,,https://earthquake.usgs.gov/earthquakes/eventpage/nc547778,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc547778&format=geojson,,,,,reviewed,0,102,nc,547778,",nc547778,usp0008dh8,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",34,0.02072,0.03,77,md,earthquake,"M 2.6 - Long Valley area, California",4,Point,"[-118.8773333, 37.6323333, 4.992]",4
0,2.02,"Long Valley area, California",883610338120,1482861998110,,https://earthquake.usgs.gov/earthquakes/eventpage/nc40055341,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc40055341&format=geojson,,,,,reviewed,0,63,nc,40055341,",nc40055341,",",nc,",",nearby-cities,origin,phase-data,",16,0.02162,0.03,79,md,earthquake,"M 2.0 - Long Valley area, California",5,Point,"[-118.878, 37.6353333, 3.842]",5
0,2.15,"Long Valley area, California",883610269760,1482861989748,,https://earthquake.usgs.gov/earthquakes/eventpage/nc547777,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc547777&format=geojson,,,,,reviewed,0,71,nc,547777,",nc547777,",",nc,",",nearby-cities,origin,phase-data,",15,0.02072,0.03,75,md,earthquake,"M 2.2 - Long Valley area, California",6,Point,"[-118.8551667, 37.6235, 2.097]",6
0,2.66,"Long Valley area, California",883609973870,1482861928656,,https://earthquake.usgs.gov/earthquakes/eventpage/nc40055333,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc40055333&format=geojson,,,,,reviewed,0,109,nc,40055333,",nc40055333,",",nc,",",nearby-cities,origin,phase-data,",7,0.004505,0.07,154,md,earthquake,"M 2.7 - Long Valley area, California",7,Point,"[-118.8266667, 37.5943333, 7.967]",7
0,2.56,"Long Valley area, California",883609891610,1482861911570,,https://earthquake.usgs.gov/earthquakes/eventpage/nc547772,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc547772&format=geojson,,,,,reviewed,0,101,nc,547772,",nc547772,usp0008dh6,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",33,0.02252,0.06,77,md,earthquake,"M 2.6 - Long Valley area, California",8,Point,"[-118.864, 37.6411667, 4.322]",8
0,2.35,"Long Valley area, California",883609122770,1482861755080,,https://earthquake.usgs.gov/earthquakes/eventpage/nc547759,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc547759&format=geojson,,,,,reviewed,0,85,nc,547759,",nc547759,usp0008dh3,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",35,0.01532,0.03,80,md,earthquake,"M 2.4 - Long Valley area, California",9,Point,"[-118.8546667, 37.6413333, 5.116]",9
