,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.33,"81km SE of Maneadero, B.C., MX",852075858970,1455266998168,,https://earthquake.usgs.gov/earthquakes/eventpage/ci7054961,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci7054961&format=geojson,,,,,reviewed,0,84,ci,7054961,",ci7054961,",",ci,",",nearby-cities,origin,phase-data,",0,1.406,0.41,343.9,mc,earthquake,"M 2.3 - 81km SE of Maneadero, B.C., MX",0,Point,"[-115.918, 31.237, 5.842]",0
0,2.63,Central California,852071505390,1482656568143,,https://earthquake.usgs.gov/earthquakes/eventpage/nc489476,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc489476&format=geojson,,,,,reviewed,0,106,nc,489476,",nc489476,",",nc,",",nearby-cities,origin,phase-data,",10,0.7162,0.04,245,md,earthquake,M 2.6 - Central California,1,Point,"[-119.5635, 38.6301667, 4.062]",1
0,2.6,Central California,852063935480,1482656562700,,https://earthquake.usgs.gov/earthquakes/eventpage/nc489475,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc489475&format=geojson,,,,,reviewed,0,104,nc,489475,",nc489475,usp0007v8y,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",45,0.05586,0.06,77,md,earthquake,M 2.6 - Central California,2,Point,"[-120.4065, 36.2715, 8.542]",2
0,2.1,"10km NNW of Rancho Cucamonga, California",852062340170,1455294726654,,https://earthquake.usgs.gov/earthquakes/eventpage/ci7054946,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci7054946&format=geojson,,,,,reviewed,0,68,ci,7054946,",ci7054946,",",ci,",",nearby-cities,origin,phase-data,",0,,0.204,64.6,mc,earthquake,"M 2.1 - 10km NNW of Rancho Cucamonga, California",3,Point,"[-117.632, 34.2, 2.112]",3
0,2.19,"44km SW of Primo Tapia, B.C., MX",852060302600,1455331627656,,https://earthquake.usgs.gov/earthquakes/eventpage/ci7054944,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci7054944&format=geojson,,,,,reviewed,0,74,ci,7054944,",ci7054944,",",ci,",",nearby-cities,origin,phase-data,",0,0.8867,0.229,314.2,mc,earthquake,"M 2.2 - 44km SW of Primo Tapia, B.C., MX",4,Point,"[-117.258, 31.943, 5.471]",4
0,2.07,"74km E of Maneadero, B.C., MX",852039057670,1455322365722,,https://earthquake.usgs.gov/earthquakes/eventpage/ci7054928,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci7054928&format=geojson,,,,,reviewed,0,66,ci,7054928,",ci7054928,",",ci,",",nearby-cities,origin,phase-data,",0,0.824,0.341,323.7,mc,earthquake,"M 2.1 - 74km E of Maneadero, B.C., MX",5,Point,"[-115.795, 31.825, 5.62]",5
0,2.2,"60km WSW of Alberto Oviedo Mota, B.C., MX",852038922920,1455304192214,,https://earthquake.usgs.gov/earthquakes/eventpage/ci7054927,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci7054927&format=geojson,,,,,reviewed,0,74,ci,7054927,",ci7054927,",",ci,",",nearby-cities,origin,phase-data,",0,0.6666,0.198,324.4,mh,earthquake,"M 2.2 - 60km WSW of Alberto Oviedo Mota, B.C., MX",6,Point,"[-115.74, 31.997, 5.468]",6
0,2.23,"67km ENE of Maneadero, B.C., MX",852035678040,1455358761121,,https://earthquake.usgs.gov/earthquakes/eventpage/ci7054924,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci7054924&format=geojson,,,,,reviewed,0,77,ci,7054924,",ci7054924,",",ci,",",nearby-cities,origin,phase-data,",0,0.811,0.481,321.8,mc,earthquake,"M 2.2 - 67km ENE of Maneadero, B.C., MX",7,Point,"[-115.874, 31.835, 5.62]",7
0,2.3,"1km N of Chatsworth, California",852034382040,1455266994060,,https://earthquake.usgs.gov/earthquakes/eventpage/ci7054920,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci7054920&format=geojson,,,,,reviewed,0,81,ci,7054920,",ci7054920,",",ci,",",nearby-cities,origin,phase-data,",0,,0.26,33.7,ml,earthquake,"M 2.3 - 1km N of Chatsworth, California",8,Point,"[-118.605, 34.268, 2.599]",8
0,2.44,Utah,852031227130,1535471206710,,https://earthquake.usgs.gov/earthquakes/eventpage/uu50140220,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu50140220&format=geojson,,,,,reviewed,0,92,uu,50140220,",uu50140220,",",uu,",",origin,phase-data,",8,0.213,0.06,99,md,earthquake,M 2.4 - Utah,9,Point,"[-111.3433333, 38.9838333, 2.23]",9
