,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.97,"10km WSW of Alberto Oviedo Mota, B.C., MX",1275344572120,1457601523653,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14730156,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14730156&format=geojson,,,,,reviewed,0,136,ci,14730156,",ci14730156,",",ci,",",nearby-cities,origin,phase-data,",17,0.2336,0.16,247,ml,earthquake,"M 3.0 - 10km WSW of Alberto Oviedo Mota, B.C., MX",0,Point,"[-115.2696667, 32.1871667, 7.795]",0
0,2.03,Northern California,1275344150830,1485084857390,,https://earthquake.usgs.gov/earthquakes/eventpage/nc71407626,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71407626&format=geojson,,,,,reviewed,0,63,nc,71407626,",nc71407626,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",59,0.009009,0.06,23,md,earthquake,M 2.0 - Northern California,1,Point,"[-122.8103333, 38.8321667, 0.862]",1
0,2.17,Northern California,1275337142540,1485084807130,,https://earthquake.usgs.gov/earthquakes/eventpage/nc71407531,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71407531&format=geojson,,,,,reviewed,0,72,nc,71407531,",nc71407531,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",61,0.01712,0.08,27,md,earthquake,M 2.2 - Northern California,2,Point,"[-122.7203333, 38.756, 1.224]",2
0,2.28,"4km WSW of Ocotillo, CA",1275336067940,1457612151340,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14730068,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14730068&format=geojson,,,,,reviewed,0,80,ci,14730068,",ci14730068,",",ci,",",nearby-cities,origin,phase-data,",27,0.08174,0.19,95,ml,earthquake,"M 2.3 - 4km WSW of Ocotillo, CA",3,Point,"[-116.0258333, 32.7203333, 7.209]",3
0,2.31,"8km WSW of Alberto Oviedo Mota, B.C., MX",1275331178080,1457569267651,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729996,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729996&format=geojson,,,,,reviewed,0,82,ci,14729996,",ci14729996,",",ci,",",nearby-cities,origin,phase-data,",14,0.2133,0.17,244,ml,earthquake,"M 2.3 - 8km WSW of Alberto Oviedo Mota, B.C., MX",4,Point,"[-115.2476667, 32.2111667, 11.817]",4
0,2.23,"11km WSW of Alberto Oviedo Mota, B.C., MX",1275330417340,1457580009130,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37034716,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37034716&format=geojson,,,,,reviewed,0,77,ci,37034716,",ci37034716,",",ci,",",nearby-cities,origin,phase-data,",13,0.2483,0.17,249,ml,earthquake,"M 2.2 - 11km WSW of Alberto Oviedo Mota, B.C., MX",5,Point,"[-115.2693333, 32.1723333, 8.823]",5
0,2.12,"10km WSW of Alberto Oviedo Mota, B.C., MX",1275330384520,1457580007689,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729972,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729972&format=geojson,,,,,reviewed,0,69,ci,14729972,",ci14729972,",",ci,",",nearby-cities,origin,phase-data,",17,0.2154,0.14,245,ml,earthquake,"M 2.1 - 10km WSW of Alberto Oviedo Mota, B.C., MX",6,Point,"[-115.2698333, 32.2055, 2.743]",6
0,2.07,"14km WSW of Delta, B.C., MX",1275327470310,1457640807173,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729956,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729956&format=geojson,,,,,reviewed,0,66,ci,14729956,",ci14729956,",",ci,",",nearby-cities,origin,phase-data,",13,0.1313,0.15,233,ml,earthquake,"M 2.1 - 14km WSW of Delta, B.C., MX",7,Point,"[-115.3165, 32.2881667, 14.187]",7
0,2.03,offshore Northern California,1275322778940,1485084730047,,https://earthquake.usgs.gov/earthquakes/eventpage/nc71407421,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71407421&format=geojson,,,,,reviewed,0,63,nc,71407421,",nc71407421,",",nc,",",nearby-cities,origin,phase-data,",16,0.08018,0.17,238,md,earthquake,M 2.0 - offshore Northern California,8,Point,"[-124.3871667, 40.3071667, 10.041]",8
0,2.38,"9km SW of Progreso, B.C., MX",1275322676790,1457983894004,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729892,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729892&format=geojson,,,,,reviewed,0,87,ci,14729892,",ci14729892,",",ci,",",nearby-cities,origin,phase-data,",22,0.154,0.16,191,ml,earthquake,"M 2.4 - 9km SW of Progreso, B.C., MX",9,Point,"[-115.6398333, 32.5133333, 7.473]",9
0,2.15,"10km SE of Ocotillo, CA",1275321299760,1457612148620,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729860,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729860&format=geojson,,,,,reviewed,0,71,ci,14729860,",ci14729860,",",ci,",",nearby-cities,origin,phase-data,",46,0.01915,0.19,84,ml,earthquake,"M 2.2 - 10km SE of Ocotillo, CA",10,Point,"[-115.9168333, 32.6751667, 6.728]",10
0,2.17,"10km SE of Ocotillo, CA",1275318962020,1457983892526,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37022876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37022876&format=geojson,,,,,reviewed,0,72,ci,37022876,",ci37022876,",",ci,",",nearby-cities,origin,phase-data,",18,0.0246,0.17,167,ml,earthquake,"M 2.2 - 10km SE of Ocotillo, CA",11,Point,"[-115.9181667, 32.6685, 6.583]",11
0,2.18,"10km SE of Ocotillo, CA",1275318956030,1457983890908,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729796,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729796&format=geojson,,,,,reviewed,0,73,ci,14729796,",ci14729796,",",ci,",",nearby-cities,origin,phase-data,",34,0.01952,0.13,85,ml,earthquake,"M 2.2 - 10km SE of Ocotillo, CA",12,Point,"[-115.9163333, 32.675, 6.538]",12
0,2.27,"8km SSW of Alberto Oviedo Mota, B.C., MX",1275318133190,1457601519353,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729772,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729772&format=geojson,,,,,reviewed,0,79,ci,14729772,",ci14729772,",",ci,",",nearby-cities,origin,phase-data,",11,0.28,0.15,256,ml,earthquake,"M 2.3 - 8km SSW of Alberto Oviedo Mota, B.C., MX",13,Point,"[-115.1961667, 32.1543333, 21.679]",13
0,2.2,"9km ESE of Ocotillo, CA",1275313882920,1457652772184,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729724,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729724&format=geojson,,,,,reviewed,0,74,ci,14729724,",ci14729724,",",ci,",",nearby-cities,origin,phase-data,",25,0.02395,0.13,70,ml,earthquake,"M 2.2 - 9km ESE of Ocotillo, CA",14,Point,"[-115.9036667, 32.7025, 8.155]",14
0,2.51,"7km E of Cabazon, CA",1275307473160,1457601518106,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729676,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729676&format=geojson,9,2,,,reviewed,0,99,ci,14729676,",ci14729676,usp000hddy,",",ci,us,",",dyfi,impact-text,nearby-cities,origin,phase-data,",70,0.1083,0.14,24,ml,earthquake,"M 2.5 - 7km E of Cabazon, CA",15,Point,"[-116.7101667, 33.9141667, 11.631]",15
0,2.05,"15km ESE of Ocotillo, CA",1275302181270,1457612141600,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729636,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729636&format=geojson,,,,,reviewed,0,65,ci,14729636,",ci14729636,",",ci,",",nearby-cities,origin,phase-data,",37,0.04794,0.15,68,ml,earthquake,"M 2.1 - 15km ESE of Ocotillo, CA",16,Point,"[-115.837, 32.699, 6.885]",16
0,2.26,"8km SW of Alberto Oviedo Mota, B.C., MX",1275301828100,1457652770790,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729628,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729628&format=geojson,,,,,reviewed,0,79,ci,14729628,",ci14729628,",",ci,",",nearby-cities,origin,phase-data,",13,0.2494,0.19,254,ml,earthquake,"M 2.3 - 8km SW of Alberto Oviedo Mota, B.C., MX",17,Point,"[-115.2335, 32.1768333, 14.975]",17
0,2.44,"8km S of Alberto Oviedo Mota, B.C., MX",1275300529230,1457647219671,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729612,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729612&format=geojson,,,,,reviewed,0,92,ci,14729612,",ci14729612,",",ci,",",nearby-cities,origin,phase-data,",14,0.2889,0.17,256,ml,earthquake,"M 2.4 - 8km S of Alberto Oviedo Mota, B.C., MX",18,Point,"[-115.1703333, 32.1533333, 13.969]",18
0,2,"8km SSE of Alberto Oviedo Mota, B.C., MX",1275298401290,1457983888954,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729572,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729572&format=geojson,,,,,reviewed,0,62,ci,14729572,",ci14729572,",",ci,",",nearby-cities,origin,phase-data,",9,0.2953,0.17,256,ml,earthquake,"M 2.0 - 8km SSE of Alberto Oviedo Mota, B.C., MX",19,Point,"[-115.1446667, 32.1565, 17.489]",19
0,2.7,"8km SSE of Alberto Oviedo Mota, B.C., MX",1275298063000,1457640801565,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729564,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729564&format=geojson,,,,,reviewed,0,112,ci,14729564,",ci14729564,",",ci,",",nearby-cities,origin,phase-data,",13,0.2907,0.22,256,ml,earthquake,"M 2.7 - 8km SSE of Alberto Oviedo Mota, B.C., MX",20,Point,"[-115.1423333, 32.1628333, 13.009]",20
0,2.81,"12km S of Alberto Oviedo Mota, B.C., MX",1275292095570,1457634447413,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14729500,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14729500&format=geojson,,,,,reviewed,0,121,ci,14729500,",ci14729500,",",ci,",",nearby-cities,origin,phase-data,",9,0.3195,0.17,261,ml,earthquake,"M 2.8 - 12km S of Alberto Oviedo Mota, B.C., MX",21,Point,"[-115.1853333, 32.1156667, 10.829]",21
