,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.88,"5km SSW of Malibu Beach, CA",1117572082760,1457380114475,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14148848,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14148848&format=geojson,,,,,reviewed,0,128,ci,14148848,",usp000drz8,ci14148848,",",us,ci,",",impact-text,nearby-cities,origin,phase-data,",63,,0.34,63,ml,earthquake,"M 2.9 - 5km SSW of Malibu Beach, CA",0,Point,"[-118.7126667, 33.9915, 13.04]",0
0,2.44,"51km E of Maneadero, B.C., MX",1117571565320,1457384145894,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14148844,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14148844&format=geojson,,,,,reviewed,0,92,ci,14148844,",ci14148844,",",ci,",",nearby-cities,origin,phase-data,",10,0.8652,0.27,304,ml,earthquake,"M 2.4 - 51km E of Maneadero, B.C., MX",1,Point,"[-116.0328333, 31.7846667, 5.48]",1
0,2.27,"17km N of Ridgecrest, CA",1117565166480,1457390368802,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14148820,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14148820&format=geojson,,,,,reviewed,0,79,ci,14148820,",ci14148820,",",ci,",",nearby-cities,origin,phase-data,",34,0.05602,0.17,52,ml,earthquake,"M 2.3 - 17km N of Ridgecrest, CA",2,Point,"[-117.6426667, 35.7733333, 9.98]",2
0,2.23,Central California,1117561031110,1484119487100,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21459721,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21459721&format=geojson,,,,,reviewed,0,77,nc,21459721,",nc21459721,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",51,0.00991,0.03,55,md,earthquake,M 2.2 - Central California,3,Point,"[-120.3875, 35.839, 8.799]",3
0,2.2,"Mount St. Helens area, Washington",1117559848430,1469223320530,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10673993,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10673993&format=geojson,,,,,reviewed,0,74,uw,10673993,",uw10673993,",",uw,",",origin,phase-data,",13,,0.1,93,md,earthquake,"M 2.2 - Mount St. Helens area, Washington",4,Point,"[-122.189, 46.2, -1.792]",4
0,2,"Mount St. Helens area, Washington",1117559532790,1469223320110,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10673968,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10673968&format=geojson,,,,,reviewed,0,62,uw,10673968,",uw10673968,",",uw,",",origin,phase-data,",12,,0.08,101,md,earthquake,"M 2.0 - Mount St. Helens area, Washington",5,Point,"[-122.1915, 46.1978333, -1.394]",5
0,2,"Mount St. Helens area, Washington",1117551007220,1469223318720,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10673908,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10673908&format=geojson,,,,,reviewed,0,62,uw,10673908,",uw10673908,",",uw,",",origin,phase-data,",13,,0.06,96,md,earthquake,"M 2.0 - Mount St. Helens area, Washington",6,Point,"[-122.191, 46.1995, -1.604]",6
0,2,"Mount St. Helens area, Washington",1117545968640,1469223317930,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10673903,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10673903&format=geojson,,,,,reviewed,0,62,uw,10673903,",uw10673903,",",uw,",",origin,phase-data,",11,0.01128,0.08,99,md,earthquake,"M 2.0 - Mount St. Helens area, Washington",7,Point,"[-122.1906667, 46.1983333, -0.783]",7
0,2.1,"Mount St. Helens area, Washington",1117542635370,1469223316660,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10673893,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10673893&format=geojson,,,,,reviewed,0,68,uw,10673893,",uw10673893,",",uw,",",origin,phase-data,",12,,0.09,92,md,earthquake,"M 2.1 - Mount St. Helens area, Washington",8,Point,"[-122.1846667, 46.1975, -1.09]",8
0,2.22,"0km E of Anaheim, CA",1117540604910,1457381461750,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14148724,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14148724&format=geojson,,,,,reviewed,0,76,ci,14148724,",ci14148724,",",ci,",",nearby-cities,origin,phase-data,",6,0.08186,0.13,255,ml,earthquake,"M 2.2 - 0km E of Anaheim, CA",9,Point,"[-117.8873333, 33.8358333, 9.956]",9
